sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
		Pseudo-nitzschia 						host of			Bacteroidetes 										10.1128/MMBR.00007-12	(Amin et al. 2012)
		Thalassiosira pseudonana						competes with			Coccolithus braarudii										10.3354/meps09088	(Cermeño et al. 2011)
		Thalassiosira pseudonana						eaten by			Proteobacteria Pseudomonad											(Baker et al. 1978)
		Skeletonema costatum						competes with			Listonella anguillarum										10.1016/S0044-8486(98)00513-4	(Naviner et al. 1998)
		Skeletonema costatum						competes with			Vibrio mytili										10.1016/S0044-8486(98)00513-5	(Naviner et al. 1998)
		Skeletonema costatum						competes with			Pseudomonas aeruginosa										10.1016/S0044-8486(98)00513-6	(Naviner et al. 1998)
		Skeletonema costatum						competes with			Staphylococcus aureus										10.1016/S0044-8486(98)00513-6	(Naviner et al. 1998)
		Skeletonema costatum						competes with			Streptococcus faecalis										10.1016/S0044-8486(98)00513-7	(Naviner et al. 1998)
		Chaetoceros 						competes with			Vibrio 										10.1016/S0044-8486(98)00513-7	(Naviner et al. 1998)
		Phaelodactylum 						competes with			Vibrio 										10.1016/S0044-8486(98)00513-7	(Naviner et al. 1998)
		Bacillariophyta 						competes with			Copepoda 											(Ban et al. 1997)
		Thalassiosira pseudonana						host of			B12Bacteria 										doi:10.1038/nature04056	(Croft et al 2005
		Chaetoceros 						host of			Calothrix 											(Foster et al. 2011)
		Hemiaulus 						host of			Calothrix 											(Foster et al. 2011)
		Rhizosolenia 						host of			Calothrix 											(Foster et al. 2011)
		Hemiaulus hauckii						host of			Richelia intracellularis											(Hilton et al 2013)
		Hemiaulus membranaceus						host of			Richelia intracellularis											(Hilton et al 2013)
		Climacodium  frauenfeldianum 						host of			Crocosphaera watsonii											(Foster et al. 2011)
		Fragilaria shiloi						host of			Amphistegina lessonii										DOI: 10.2307/1485677	(Lee et al.1989) 
		Fragilaria shiloi						host of			Amphistegina lobifera										DOI: 10.2307/1485677	(Lee et al.1989) 
		Fragilaria shiloi						host of			Borelis schlumbergi										DOI: 10.2307/1485677	(Lee et al.1989) 
		Fragilaria shiloi						host of			Operculina ammonoides										DOI: 10.2307/1485677	(Lee et al.1989) 
		Achnanthes maceneryae						host of			Heterostegina depressa										DOI: 10.2307/1485677	(Lee et al.1989) 
		Cocconeis andersonii						host of			Operculina ammonoides										DOI: 10.2307/1485677	(Lee et al.1989) 
		Amphora roettgerii						host of			Heterostegina depressa										DOI: 10.2307/1485677	(Lee et al.1989) 
		Amphora 						host of			Operculina ammonoides										DOI: 10.2307/1485677	(Lee et al.1989) 
		Entomoneis paludosa						host of			Amphistegina lobifera										DOI: 10.2307/1485677	(Lee et al.1989) 
		Navicula hanseniana						host of			Amphistegina lobifera										DOI: 10.2307/1485677	(Lee et al.1989) 
		Protokeelia hottingeri						host of			Heterostegina depressa										DOI: 10.2307/1485677	(Lee et al.1989) 
		Nitzschia frustulum						host of			Amphistegina lessonii										DOI: 10.2307/1485677	(Lee et al.1989) 
		Nitzschia frustulum						host of			Amphistegina lobifera										DOI: 10.2307/1485677	(Lee et al.1989) 
		Nitzschia frustulum						host of			Heterostegina depressa										DOI: 10.2307/1485677	(Lee et al.1989) 
		Nitzschia frustulum						host of			Calcarina calcar										DOI: 10.2307/1485677	(Lee et al.1989) 
		Nitzschia laevis						host of			Borelis schlumbergi										DOI: 10.2307/1485677	(Lee et al.1989) 
		Nitzschia valdestriata						host of			Heterostegina depressa										DOI: 10.2307/1485677	(Lee et al.1989) 
		Nitzschia panduriforis						host of			Heterostegina depressa										DOI: 10.2307/1485677	(Lee et al.1989) 
		Chaetoceros sociabilis						has parasite			ssRNA virus 										10.1128/AEM.02580-08	(Tomaru et al.2009)
		Rhizosolenia setigera						has parasite			ssRNA virus 										10.1128/AEM.02580-08	(Tomaru et al.2009)
		Chaetoceros tenuissimus						has parasite			ssRNA virus 										10.1128/AEM.02580-08	(Tomaru et al.2009)
		Skeletonema costatum						eaten by			Penilia avirostris										10.1007/BF00391145	(Kim et al.1989)
		Cocconeis 						epibiosis			Chlorophyta 										http://link.springer.com/article/10.1007%2FBF00007435	(Thomas et al. 1986)
		Cocconeis 						epibiosis			Rhodophyta 										http://link.springer.com/article/10.1007%2FBF00007435	(Thomas et al. 1986)
		Nitzschia lecointei						epibiosis			Chlorophyta 										http://link.springer.com/article/10.1007%2FBF00007435	(Thomas et al. 1986)
		Nitzschia lecointei						epibiosis			Phaeophyta 										http://link.springer.com/article/10.1007%2FBF00007435	(Thomas et al. 1986)
		Navicula gelida						epibiosis			Phaeophyta 										http://link.springer.com/article/10.1007%2FBF00007435	(Thomas et al. 1986)
		Navicula gelida						epibiosis			Rhodophyta 										http://link.springer.com/article/10.1007%2FBF00007435	(Thomas et al. 1986)
		Synedra cyclopum						epibiosis			Daphnia 										Limnol. Oceanogr., 38(3), 1993, 628-637	(Lanoo et al. 1993)
		Bacillariophyta 						host of			Durinskia capensis										10.3354/ame01340	(Stoecker et al,2009)
		Bacillariophyta 						host of			Kryptoperidinium foliaceum										10.3354/ame01341	(Stoecker et al,2009)
		Rhopalodia gibba						host of			Cyanothece 											(Prechtl et al 2004)
		Epithemia turgida						host of			cyanobacteria 										 doi: 10.1073/pnas.1405222111	(Nakayama et al 2014)
		Asterionella formosa						has parasite			Zygorhizidium planktonicum										DOI: 10.1371/journal.pone.0071737	(Gsell 2013)
		Bacillariophyta 						epibiosis			Elphidium 										 doi: 10.1093/molbev/mss226	(Pilet 2012)
		Climacosphenia sp.						epibiosis			Ruppia cirrhosa										doi: 10.1016/j.marpolbul.2013.09.017	(Dhib et al,2013)
		Cylindrotheca closterium						epibiosis			Ruppia cirrhosa										doi: 10.1016/j.marpolbul.2013.09.017	(Dhib et al,2013)
		Denticulopsis sp.						epibiosis			Ruppia cirrhosa										doi: 10.1016/j.marpolbul.2013.09.017	(Dhib et al,2013)
		Gyrosigma sp.						epibiosis			Ruppia cirrhosa										doi: 10.1016/j.marpolbul.2013.09.017	(Dhib et al,2013)
		Leptocylindrus danicus						epibiosis			Ruppia cirrhosa										doi: 10.1016/j.marpolbul.2013.09.017	(Dhib et al,2013)
		Licmophora gracilis						epibiosis			Ruppia cirrhosa										doi: 10.1016/j.marpolbul.2013.09.017	(Dhib et al,2013)
		Navicula phyllepta						epibiosis			Ruppia cirrhosa										doi: 10.1016/j.marpolbul.2013.09.017	(Dhib et al,2013)
		Navicula duerrenbergiana						epibiosis			Ruppia cirrhosa										doi: 10.1016/j.marpolbul.2013.09.017	(Dhib et al,2013)
		Nitzschia linearis						epibiosis			Ruppia cirrhosa										doi: 10.1016/j.marpolbul.2013.09.017	(Dhib et al,2013)
		Striatella unipunctata						epibiosis			Ruppia cirrhosa										doi: 10.1016/j.marpolbul.2013.09.017	(Dhib et al,2013)
		Thalassionema nitzshioides						epibiosis			Ruppia cirrhosa										doi: 10.1016/j.marpolbul.2013.09.017	(Dhib et al,2013)
		Achnanthes sp.						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Asterionella formosa						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Cocconeis placentula						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Cyclotella sp.						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Cymbella cistula						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Diatoma sp.						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Diatomella sp.						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Eunotia sp.						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Fragilaria sp.						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Gomphonema acuminatum						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Melosira circulare						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Navicula sp.						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Nitzschia sp.						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Pinnularia nobilis						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Rhizosolenia eriensis						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Rhopalodia gibba						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Stauroneis phoenicentron						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Stephanodiscus astrae						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Surirella sp.						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Synedra sp.						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Tabellaria sp.						epibiosis			Potamogeton amplifolius											(Richard et al, 1975)
		Pseudo-nitzschia multiseries						epibiosis			Sulfitobacter pseudonitzschiae										doi:10.1099/ijs.0.064972-0	(Hong et al, 2014)
		Cocconeis notata						epibiosis			Macrocystis pyrifera										Oceanides 16(2): 135-138	(Siqueiros Beltrones, 2001
		Isthmia nervosa						epibiosis			Odonthalia floccosa										DOI 10.1046/j.1529-8817.1998.340029.x	(Ruesink, 1998)
		Bacillariophyta 						epibiosis			Enhalus acoroides										DOI 10.1515/botm.1995.38.1-6.1	(Sterrenburg, 1995)
		Bacillariophyta 						epibiosis			Thalassia hemprichii										DOI 10.1515/botm.1995.38.1-6.1	(Sterrenburg, 1995)
		Bacillariophyta 						epibiosis			Halodule wrightii											(Jewett Smith,1991)
		Cocconeis scutellum						epibiosis			Posidonia oceanica										DOI 10.1007/s00227-014-2448-0	(Maibam, 2014)
		Cocconeis posidoniae						epibiosis			Posidonia oceanica										DOI 10.1007/s00227-014-2448-0	(Maibam, 2014)
		Diploneis sp.						epibiosis			Posidonia oceanica										DOI 10.1007/s00227-014-2448-0	(Maibam, 2014)
		Cocconeis scutellum						allelopathy			Paracentrotus lividus										DOI 10.1007/s00227-014-2448-0	(Maibam, 2014)
		Cocconeis posidoniae						allelopathy			Paracentrotus lividus										DOI 10.1007/s00227-014-2448-0	(Maibam, 2014)
		Diploneis sp.						allelopathy			Paracentrotus lividus										DOI 10.1007/s00227-014-2448-0	(Maibam, 2014)
		Pseudogomphonema kamschaticum						has parasite			Pyropia 											(Klochkova,2014)
		Cocconeis ehrenberg						epibiosis			Posidonia oceanica										DOI 10.1016/j.aquabot.2013.07.008	(Majewka,2014)
		Cocconeis neothumensis						epibiosis			Posidonia oceanica										DOI 10.1016/j.aquabot.2013.07.008	(Majewka,2014)
		Cocconeis scutellum						epibiosis			Posidonia oceanica										DOI 10.1016/j.aquabot.2013.07.008	(Majewka,2014)
		Pseudohimantidium pacificum						epibiosis			Farranula gibbula										UT WOS:000267894300003	(Garate-Lizarraga, 2009)
		Cocconeis pediculus						epibiosis			Rivularia atra											(Snoeijs, 2004)
		Diatoma moniliformis						epibiosis			Rivularia atra											(Snoeijs, 2004)
		Gomphonema olivaceum						epibiosis			Rivularia atra											(Snoeijs, 2004)
		Fragilaria hyalina						epibiosis			Rivularia atra											(Snoeijs, 2004)
		Hyalosira delicatula						epibiosis			Rivularia atra											(Snoeijs, 2004)
		Licmophora debilis						epibiosis			Rivularia atra											(Snoeijs, 2004)
		Rhoicosphenia curvata						epibiosis			Rivularia atra											(Snoeijs, 2004)
		Tabularia tabulata						epibiosis			Rivularia atra											(Snoeijs, 2004)
		Amphora sp.						host of			Rivularia atra											(Snoeijs, 2004)
		Berkeleya fennica						host of			Rivularia atra											(Snoeijs, 2004)
		Cymbella pusilla						host of			Rivularia atra											(Snoeijs, 2004)
		Entomoneis pseudoduplex						host of			Rivularia atra											(Snoeijs, 2004)
		Epithemia spp.						host of			Rivularia atra											(Snoeijs, 2004)
		Lunella 						host of			Rivularia atra											(Snoeijs, 2004)
		Mastogloia 						host of			Rivularia atra											(Snoeijs, 2004)
		Nitzschia 						host of			Rivularia atra											(Snoeijs, 2004)
		Rhopalodia 						host of			Rivularia atra											(Snoeijs, 2004)
		Navicula sp.						host of			Phormidium sp.											(Brehm et al, 2003)
		Pseudo-nitzschia australis						host of			Marinobacter 										doi:10.1038/ismej.2013.138	(Sison-Mangus,2014)
		Pseudo-nitzschia australis						host of			Salegentibacter 										doi:10.1038/ismej.2013.138	(Sison-Mangus,2014)
		Thalassionema 						host of			Nummulitidae 											(Holzmann et al, 2006)
		Bacillariophyta 						host of			Haliclona dancoi										DOI 10.1016/j.marenvres.2004.03.055	(Regoli et al,2004)
		Pseudohimantidium pacificum						epibiosis			Coryceus amazonicus											(Fernandes, 2012)
		Pseudohimantidium pacificum						epibiosis			Euterpina acutifrons											(Fernandes, 2012)
		Falcula hyalina						epibiosis			Oithona oswaldocruzii											(Fernandes, 2012)
		Falcula hyalina						epibiosis			Pseudodiaptomus richardii											(Fernandes, 2012)
		Falcula hyalina						epibiosis			Acartia spp.											(Fernandes, 2012)
		Fragilaria intermedia						epibiosis			Schizophrys dahlak										DOI 10.1017/S1755267212000437	(Madkour, 2012)
		Amphora coffeaeformis						epibiosis			Schizophrys dahlak										DOI 10.1017/S1755267212000437	(Madkour, 2012)
		Cocconeis placentula						epibiosis			Schizophrys dahlak										DOI 10.1017/S1755267212000437	(Madkour, 2012)
		Fragilariopsis doliolus						epibiosis			Dictyocha pentagona											(Garate-Lizarraga, 2009)
		Licmophora sp.						epibiosis			Eudendrium racemosum										DOI 10.1017/S0025315405012555	(Di Camillo et am, 2005)
		Amphora sp.						epibiosis			Eudendrium racemosum										DOI 10.1017/S0025315405012555	(Di Camillo et am, 2005)
		Cocconeis sp.						epibiosis			Eudendrium racemosum										DOI 10.1017/S0025315405012555	(Di Camillo et am, 2005)
		Cocconeis placentula						epibiosis			Hydrobia ulvae										DOI 10.1016/S1385-1101(99)00041-6	(Gillan et al, 2000)
		Achnanthes lemmermanni						epibiosis			Hydrobia ulvae										DOI 10.1016/S1385-1101(99)00041-6	(Gillan et al, 2000)
		Synedra cyclopum						epibiosis			Daphnia spp.											(Gaider, 1993)
		Guinardia delicatula						has parasite			Cryothecomonas aestivalis										DOI 10.3354/meps10784	(Peacock, 2014)
		Coscinodiscus granii						has parasite			Pirsonia diadema										DOI 10.1007/s00227-008-0904-4	(Kuehn 2008)
		Coscinodiscus wailesii						has parasite			Pirsonia diadema										DOI 10.1007/s00227-008-0904-4	(Kuehn 2008)
		Bacillariophyta 						competes with			Phaeocystis pouchetii										DOI 10.1016/j.jmarsys.2014.02.011	(Jian 2014)
		Stephanodiscus minutulus						competes with			Nitzschia acicularis										DOI 10.1093/plankt/fbt058	(Shatwell, 2013)
		Cyclotella sp						competes with			Microcystis aeruginosa										DOI 10.1007/s10811-011-9718-8	(Amano,2012)
		Navicula phyllepta						competes with			Chroococcus dimidiatus										DOI 10.2216/11-80.1	(Scholz, 2012)
		Navicula phyllepta						competes with			Anabaena torulosa										DOI 10.2216/11-80.1	(Scholz, 2012)
		Achnanthidium minutissimum						competes with			Cocconeis placentula										DOI 10.1080/02705060.2009.9664275	(Manoylov,2009)
		Achnanthidium minutissimum						competes with			Cymbella cistula										DOI 10.1080/02705060.2009.9664275	(Manoylov,2009)
		Skeletonema marinoi						competes with			Pseudo-nitzschia 										DI 10.3390/md11072398	(Prince, 2013)
		Thalassiosira weissflogii						competes with			Marinobacter 											(Wang, 2014)
		Chaetoceros neogracile						competes with			Alexandrium minutum										DI 10.1007/s00248-011-9889-5	(Lelong, 2011)
		Skeletonema costatum						competes with			Heterosigma akashiwo											(Yamasaki,2011)
		Thalassiosira pseudonana						eaten by			Nitokra lacustris										10.1093/plankt/fbs003	(Parrish et al. 2012)⁠
		Thalassiosira pseudonana						eaten by			Tisbe furcata										10.1093/plankt/fbs003	(Parrish et al. 2012)⁠
		Chaetoceros NA						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Fragilariopsis angulata						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Fragilariopsis curta						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Fragilariopsis cylindrus						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Fragilariopsis NA						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Fragilariopsis NA						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Fragilariopsis NA						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Fragilariopsis NA						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Fragilariopsis pseudonana						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Fragilariopsis ritscheri						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Fragilariopsis sublineata						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Fragilariopsis obliquecostata						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Navicula NA						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Nitzschia NA						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Nitzschia pseudonana						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Rhizosolenia NA						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Thalassiosira antarctica						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Thalassiosira gracilis						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Thalassiosira lentiginosa						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Thalassiosira NA						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Thalassiosira NA						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Thalassiosira NA						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Thalassiosira oliverana						eaten by			Euphausia superba										10.1007/s10126-005-6088-8	(Passmore et al. 2006)⁠
		Skeletonema costatum						eaten by			Penilia avirostris										10.1007/BF00391145	(Kim et al. 1989)⁠
		Chaetoceros tetrastichon						epibiosis			Eutintinnus apertus										DOI 10.1007/s00227-007-0625-0	(Gomez, 2006)
		Chaetoceros dadayi						epibiosis			Eutintinnus apertus										DOI 10.1007/s00227-007-0625-1	(Gomez, 2006)
		Planktoniella sol						epibiosis			Eutintinnus lususundae										DOI 10.1007/s00227-007-0625-2	(Gomez, 2006)
		Hemiaulus hauckii						epibiosis			Eutintinnus lususundae										DOI 10.1007/s00227-007-0625-3	(Gomez, 2006)
		Chaetoceros peruvianus						epibiosis			Eutintinnus lususundae										DOI 10.1007/s00227-007-0625-4	(Gomez, 2006)
		Fragilariopsis 						epibiosis			Eutintinnus spp.										DOI 10.1007/s00227-007-0625-5	(Gomez, 2006)
		Fragilariopsis 						epibiosis			Salpingella subconica										DOI 10.1007/s00227-007-0625-6	(Gomez, 2006)(Froneman. 1998)
	EOL:3685	Bacillariophyta 						eaten by		EOL:110606	Hydraena 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:8941719	Orchymontia 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:8612	Scirtidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:54923	Polypedilum 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:6919817	Zelandoperla 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:60667	Aoteapsyche 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:5120096	Oligochaeta 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:12026817	Austroclima jollyae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2693261	Tanytarsini 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:54832	Cricotopus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:37930	Hydropsyche 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:100480	Tricorythodes 											
	EOL:3685	Bacillariophyta 						eaten by		WORMS:118100	Chironomidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:482	Chironomidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:480390	Helicopsyche albescens 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:593107	Olinga feredayi 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:875808	Antocha saxicola 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:88480	Aphrophila 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:19712211	Hydora nitida 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:54821	Eukiefferiella 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:6891728	Coloburiscus humeralis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:481634	Aoteapsyche raruraru 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:55368	Naonella 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:582612	Oxyethira albiceps 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:740557	Simulium argus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:60648	Pycnocentrodes 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3684076	Deleatidium 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1172922	Ectopria nervosa 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Podonominae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:56567	Parochlus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:19665862	Oligochaeta 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2686759	Eriopterini 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:9014	Stratiomyidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:586334	Potamopyrgus antipodarum 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:55267	Pirara 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:19712309	Baraeoptera roria 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:53290	Zelandotipula 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:55359	Parachironomus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:53016	Hudsonema 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2692379	Cricotopus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:8106901	Austroperla cyrene 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:342551	Hyalella azteca 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:745749	Austrosimulium australense 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:84317	Paralimnophora 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:78459	Stictocladius 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:52934	Pycnocentria 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1158	Amphipoda 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:608324	Hydropsyche occidentalis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:8941720	Podaena 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:9021	Tanyderidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:64	Lumbriculidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2762498	Baetis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:8106965	Acroperla 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:6892142	Oniscigaster 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:484273	Zelolessica cheira 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:16680184	Zephlebia spectabilis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:14603	Calanus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:60576	Hydrobiosella 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:493217	Sphaerium occidentale 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:345025	Emerita analoga 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:486	Ceratopogonidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:54681	Simulium 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2762505	Baetis tricaudatus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:10482179	Nesameletus ornatus 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Potamopurgus antipodarum 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2762862	Leucrocuta 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2763362	Ophiogomphus severus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:72562	Olinga 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Chironomid type Polyped 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:615147	Hydrobiosella stenocerca 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2564270	Oligochaeta 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:35037	Stenelmis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1335452	Orthocladiinae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2686478	Hexatomini 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:54823	Corynoneura 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:234838	Enallagma anna 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2762844	Epeorus dispar 											
